OID_,Number,Name,Latitude,Longitude,District,Public_,Total_docks,shape_wkt,POINT_X,POINT_Y
91,C23109,Cedar Grove T Stop,42.279607599999999,-71.060221200000001,Boston,Yes,18,POINT (-71.060221199999944 42.279607600000077),-71.060221199999944,42.279607600000077
92,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366425999999997,-71.105495000000005,Cambridge,Yes,17,POINT (-71.105494999999962 42.366426000000047),-71.105494999999962,42.366426000000047
93,M32011,Central Square at Mass Ave / Essex St,42.365070000000003,-71.103099999999998,Cambridge,Yes,19,POINT (-71.103099999999984 42.36507000000006),-71.103099999999984,42.365070000000060
94,A32041,Central Square East Boston,42.375449130000000,-71.039185489999994,Boston,Yes,15,POINT (-71.039185489999966 42.37544913000005),-71.039185489999966,42.375449130000050
95,N32018,Centre St at Commonwealth Ave,42.336235799999997,-71.193442099999999,Newton,Yes,11,POINT (-71.19344209999997 42.336235800000054),-71.193442099999970,42.336235800000054
96,C32086,Centre St at Parkway YMCA,42.282779009999999,-71.157288510000001,Boston,Yes,17,POINT (-71.157288509999944 42.28277901000007),-71.157288509999944,42.282779010000070
97,C32085,Centre St at W. Roxbury Post Office,42.286331990000001,-71.153447549999996,Boston,Yes,19,POINT (-71.153447549999953 42.286331990000065),-71.153447549999953,42.286331990000065
98,N32000,Centre St at Washington St,42.355743349999997,-71.186419430000001,Newton,Yes,11,POINT (-71.186419429999944 42.355743350000068),-71.186419429999944,42.355743350000068
99,D32016,Charles Circle - Charles St at Cambridge St,42.360792969999999,-71.071189619999998,Boston,Yes,19,POINT (-71.071189619999984 42.360792970000034),-71.071189619999984,42.360792970000034
100,D32039,Charlestown Navy Yard,42.374124549999998,-71.054811999999998,Boston,Yes,23,POINT (-71.05481199999997 42.374124550000033),-71.054811999999970,42.374124550000033
101,H32003,Chelsea Square,42.390226710000000,-71.038570179999994,Chelsea,Yes,11,POINT (-71.038570179999965 42.390226710000036),-71.038570179999965,42.390226710000036
102,V32016,Chelsea St at Vine St,42.403369460000000,-71.047314409999998,Everett,Yes,11,POINT (-71.047314409999956 42.403369460000079),-71.047314409999956,42.403369460000079
103,H32005,Chelsea Station,42.396365279999998,-71.039871790000007,Chelsea,Yes,11,POINT (-71.03987178999995 42.396365280000055),-71.039871789999950,42.396365280000055
104,M32049,Child Street at Brian P. Murphy Staircase,42.371976779999997,-71.072004960000001,Cambridge,Yes,23,POINT (-71.072004959999958 42.371976780000068),-71.072004959999958,42.371976780000068
105,D32015,Chinatown Gate Plaza,42.351356000000003,-71.059366999999995,Boston,Yes,19,POINT (-71.059366999999952 42.351356000000067),-71.059366999999952,42.351356000000067
106,D32019,Chinatown T Stop,42.352409000000002,-71.062679000000003,Boston,Yes,19,POINT (-71.062678999999946 42.35240900000008),-71.062678999999946,42.352409000000080
107,R32006,Revere City Hall,42.407409999999999,-71.013900000000007,Revere,Yes,11,POINT (-71.013899999999978 42.407410000000027),-71.013899999999978,42.407410000000027
108,R32007,Revere Public Library,42.408087999999999,-71.008942000000005,Revere,Yes,11,POINT (-71.008941999999934 42.408088000000077),-71.008941999999934,42.408088000000077
109,M32036,Rindge Avenue - O'Neill Library,42.392766000000002,-71.129041999999998,Cambridge,Yes,19,POINT (-71.12904199999997 42.392766000000051),-71.129041999999970,42.392766000000051
110,A32056,Riverway at Brookline Ave,42.336610059999998,-71.110046800000006,Boston,Yes,25,POINT (-71.110046799999964 42.336610060000055),-71.110046799999964,42.336610060000055
111,M32035,Rogers St & Land Blvd,42.366446740000001,-71.076546010000001,Cambridge,Yes,19,POINT (-71.076546009999959 42.366446740000072),-71.076546009999959,42.366446740000072
112,C32047,Roslindale Village - South St,42.287072000000002,-71.127753999999996,Boston,Yes,15,POINT (-71.127753999999982 42.28707200000008),-71.127753999999982,42.287072000000080
113,C32046,Roslindale Village - Washington St,42.286307160000000,-71.128205320000006,Boston,Yes,15,POINT (-71.12820531999995 42.286307160000035),-71.128205319999950,42.286307160000035
114,E32014,Ross Playground,42.264566600000002,-71.114552300000000,Boston,Yes,19,POINT (-71.114552299999957 42.26456660000008),-71.114552299999957,42.264566600000080
